,Bankrekening,Consumentenkrediet,Creditcard,Hypotheek,Incasso,Kredietregistratie
spoiled,0,0,0,0,1,0
cleanup,0,0,0,0,1,0
candle,0,0,0,0,2,0
melted,0,0,0,0,1,0
yesr,0,0,0,0,1,0
cigarette,0,0,0,0,1,0
sufficent,0,0,0,0,1,0
resolting,0,0,0,0,1,0
hammered,0,0,0,0,1,0
violaton,0,0,0,0,1,0
workman,0,0,0,0,5,1
sy,0,0,0,0,1,0
verficaiton,0,0,0,0,1,0
singer,0,0,0,0,1,0
spp,0,0,0,0,1,0
interned,0,0,0,0,1,0
goggan,0,0,0,0,1,0
disturbs,0,0,0,0,2,0
sttling,0,0,0,0,1,0
berated,0,0,0,0,2,0
belly,0,0,0,0,1,0
negging,0,0,0,0,1,0
handsomely,0,0,0,0,1,0
accct,0,0,0,0,1,0
rhis,0,0,0,0,1,0
designates,0,0,0,0,1,0
forebearances,0,0,0,0,1,0
du,0,0,0,0,1,0
lifeline,0,0,0,0,2,0
port,0,0,0,0,3,1
ported,0,0,0,0,2,0
alledgely,0,0,0,0,1,0
detainment,0,0,0,0,1,0
friviloious,0,0,0,0,1,0
jacket,0,0,0,0,1,0
wore,0,0,0,0,1,0
harrassement,0,0,0,0,2,0
rereport,0,0,0,0,1,0
dood,0,0,0,0,1,0
wallstreet,0,0,0,0,1,0
fliorida,0,0,0,0,1,0
mumerous,0,0,0,0,1,0
wrokers,0,0,0,0,1,0
responder,0,0,0,0,1,0
oppurtunity,0,0,0,0,1,0
exsisted,0,0,0,0,1,1
ascribe,0,0,0,0,1,0
haresign,0,0,0,0,1,0
republished,0,0,0,0,1,0
hese,0,0,0,0,1,0
balancenational,0,0,0,0,1,0
openaccount,0,0,0,0,1,0
inoriginal,0,0,0,0,1,0
balancejul,0,0,0,0,1,0
datejun,0,0,0,0,1,0
reportedjointresponsibilityplaced,0,0,0,0,1,0
collectionremarksnote,0,0,0,0,1,0
immedietely,0,0,0,0,2,0
felonious,0,0,0,0,1,0
successuflly,0,0,0,0,1,0
persisting,0,0,0,0,2,0
cimmunization,0,0,0,0,1,0
legend,0,0,0,0,1,1
orks,0,0,0,0,1,0
dispatch,0,0,0,0,3,0
foe,0,0,0,0,1,0
reoprt,0,0,0,0,1,0
wiill,0,0,0,0,1,0
thiss,0,0,0,0,1,0
pig,0,0,0,0,1,0
rsh,0,0,0,0,4,0
nbc,0,0,0,0,1,0
gsb,0,0,0,0,3,0
ctrl,0,0,0,0,1,0
aw,0,0,0,0,1,0
managexxxx,0,0,0,0,1,0
pk,0,0,0,0,1,0
policeman,0,0,0,0,1,0
sod,0,0,0,0,2,0
shovel,0,0,0,0,1,0
trench,0,0,0,0,1,0
hog,0,0,0,0,1,0
fencing,0,0,0,0,1,0
circus,0,0,0,0,1,1
indigent,0,0,0,0,3,0
alleviating,0,0,0,0,1,0
fraternity,0,0,0,0,1,0
parson,0,0,0,0,1,0
bishop,0,0,0,0,1,0
orginally,0,0,0,0,1,0
obliviously,0,0,0,0,1,0
apelles,0,0,0,0,5,0
mornin,0,0,0,0,1,0
llecting,0,0,0,0,1,0
tuner,0,0,0,0,4,0
verication,0,0,0,0,1,1
certied,0,0,0,0,1,0
specically,0,0,0,0,1,0
certication,0,0,0,0,1,0
csi,0,0,0,0,3,0
opener,0,0,0,0,1,0
kep,0,0,0,0,1,0
xxxxxxxxnovea,0,0,0,0,1,0
uninstall,0,0,0,0,1,0
stool,0,0,0,0,1,0
reprot,0,0,0,0,1,0
afin,0,0,0,0,3,0
havany,0,0,0,0,1,0
ehanced,0,0,0,0,1,0
edwin,0,0,0,0,1,0
parry,0,0,0,0,1,0
catty,0,0,0,0,1,0
todaynotice,0,0,0,0,1,0
inboxxxxxxxxxxxxxxxxxxxxxcase,0,0,0,0,1,0
xxxxxxxxloan,0,0,0,0,2,0
informationdue,0,0,0,0,1,0
cashyou,0,0,0,0,1,0
withincouple,0,0,0,0,1,0
beforesomething,0,0,0,0,1,0
itseems,0,0,0,0,1,0
atthis,0,0,0,0,1,0
choicebut,0,0,0,0,1,0
allegationsagainst,0,0,0,0,1,0
transfernow,0,0,0,0,1,0
stateprobation,0,0,0,0,1,0
managerwhat,0,0,0,0,1,0
nothear,0,0,0,0,1,0
becompelled,0,0,0,0,1,0
wereserve,0,0,0,0,1,0
wirefraud,0,0,0,0,1,0
byuse,0,0,0,0,1,0
recoveryfor,0,0,0,0,1,0
costincurred,0,0,0,0,1,0
employmentand,0,0,0,0,1,0
bearthe,0,0,0,0,1,0
loanamount,0,0,0,0,1,0
rightto,0,0,0,0,1,0
thenone,0,0,0,0,1,0
intentand,0,0,0,0,1,0
contactour,0,0,0,0,1,0
hourson,0,0,0,0,1,0
xxxxxxxxusa,0,0,0,0,1,0
cashlegal,0,0,0,0,1,0
attorneysxxxxxxxxcopyright,0,0,0,0,1,0
developer,0,0,0,0,1,0
armada,0,0,0,0,1,0
rufusing,0,0,0,0,1,0
transworldpayments,0,0,0,0,2,0
emerg,0,0,0,0,1,0
railroad,0,0,0,0,1,0
unlaw,0,0,0,0,1,0
raspy,0,0,0,0,1,0
satfiy,0,0,0,0,1,0
aplly,0,0,0,0,1,0
pcp,0,0,0,0,2,0
ray,0,0,0,0,1,0
portray,0,0,0,0,1,0
alcom,0,0,0,0,1,0
disputer,0,0,0,0,1,1
attendt,0,0,0,0,1,0
dvr,0,0,0,0,1,0
converter,0,0,0,0,1,0
relisted,0,0,0,0,1,1
threathing,0,0,0,0,1,0
chiding,0,0,0,0,1,0
patrick,0,0,0,0,1,0
llect,0,0,0,0,1,0
roghts,0,0,0,0,1,0
minimalist,0,0,0,0,1,0
cci,0,0,0,0,5,0
provost,0,0,0,0,1,0
fcpa,0,0,0,0,1,0
lionstone,0,0,0,0,1,0
kirschenbaum,0,0,0,0,4,0
strategically,0,0,0,0,1,0
concernsas,0,0,0,0,1,0
stoped,0,0,0,0,1,0
cass,0,0,0,0,1,0
inst,0,0,0,0,1,0
eporting,0,0,0,0,1,0
jepordy,0,0,0,0,1,0
alltran,0,0,0,0,5,0
drafter,0,0,0,0,1,0
thai,0,0,0,0,1,0
interloper,0,0,0,0,1,0
omes,0,0,0,0,1,0
col,0,0,0,0,2,0
ccould,0,0,0,0,1,1
disuted,0,0,0,0,1,1
contine,0,0,0,0,1,1
agencyes,0,0,0,0,1,1
completley,0,0,0,0,1,1
dicharged,0,0,0,0,1,1
missreporting,0,0,0,0,1,1
identy,0,0,0,0,1,2
agencey,0,0,0,0,1,1
trippleing,0,0,0,0,1,1
tremendousley,0,0,0,0,1,1
mcalla,0,0,0,0,1,0
raymer,0,0,0,0,2,0
pierce,0,0,0,0,1,0
housegoods,0,0,0,0,1,0
dwell,0,0,0,0,1,0
resonse,0,0,0,0,1,0
respectfuly,0,0,0,0,1,0
incl,0,0,0,0,1,1
nelson,0,0,0,0,2,0
cruz,0,0,0,0,1,0
collaterilization,0,0,0,0,1,0
overinflated,0,0,0,0,1,0
scummy,0,0,0,0,1,0
conformity,0,0,0,0,3,0
consultantso,0,0,0,0,1,0
cti,0,0,0,0,1,0
edcuation,0,0,0,0,1,0
pheonix,0,0,0,0,1,0
suffix,0,0,0,0,2,0
aqua,0,0,0,0,14,0
cracking,0,0,0,0,1,0
politician,0,0,0,0,1,2
stooge,0,0,0,0,3,0
provoke,0,0,0,0,1,0
violator,0,0,0,0,1,1
infactions,0,0,0,0,1,0
tribunal,0,0,0,0,2,0
kla,0,0,0,0,2,0
truss,0,0,0,0,7,0
calibration,0,0,0,0,1,0
billied,0,0,0,0,1,0
embarassed,0,0,0,0,1,0
debtdear,0,0,0,0,1,0
rash,0,0,0,0,2,0
curtis,0,0,0,0,2,0
robodialer,0,0,0,0,1,0
debtand,0,0,0,0,1,0
intruder,0,0,0,0,1,0
aiding,0,0,0,0,1,0
abetting,0,0,0,0,1,0
serif,0,0,0,0,1,0
certificateholders,0,0,0,0,1,0
bony,0,0,0,0,3,0
ocga,0,0,0,0,1,0
indormation,0,0,0,0,1,0
withenhanced,0,0,0,0,1,0
directy,0,0,0,0,1,0
razor,0,0,0,0,3,0
drain,0,0,0,0,1,1
conversing,0,0,0,0,1,0
invalidate,0,0,0,0,1,3
reorts,0,0,0,0,1,0
cob,0,0,0,0,1,0
newpapers,0,0,0,0,1,0
unordered,0,0,0,0,1,0
presumedly,0,0,0,0,1,0
evan,0,0,0,0,2,0
subpoenaed,0,0,0,0,1,0
assembly,0,0,0,0,1,0
embarking,0,0,0,0,1,0
allianceone,0,0,0,0,3,0
trauma,0,0,0,0,1,0
icd,0,0,0,0,1,0
pathology,0,0,0,0,1,0
stafford,0,0,0,0,1,0
theftxxxx,0,0,0,0,1,0
rightsincerely,0,0,0,0,1,0
agrivating,0,0,0,0,1,0
doormate,0,0,0,0,1,0
globals,0,0,0,0,1,0
envoy,0,0,0,0,1,0
existant,0,0,0,0,1,0
mutilate,0,0,0,0,1,0
insurname,0,0,0,0,1,0
revival,0,0,0,0,1,0
killer,0,0,0,0,1,0
reestablished,0,0,0,0,1,0
ancient,0,0,0,0,1,0
forgetful,0,0,0,0,1,0
shouldt,0,0,0,0,1,0
sparkleletts,0,0,0,0,1,0
hatfield,0,0,0,0,1,0
solicitor,0,0,0,0,1,0
exempting,0,0,0,0,1,0
cased,0,0,0,0,1,0
staffer,0,0,0,0,1,0
annonced,0,0,0,0,1,0
orion,0,0,0,0,2,0
blackmailed,0,0,0,0,1,0
resolvoing,0,0,0,0,1,0
lull,0,0,0,0,1,0
donotcall,0,0,0,0,1,0
xxxxthat,0,0,0,0,1,1
biil,0,0,0,0,1,0
prvide,0,0,0,0,1,0
themm,0,0,0,0,1,0
disturbingly,0,0,0,0,1,0
frequestly,0,0,0,0,1,0
aired,0,0,0,0,1,0
ccc,0,0,0,0,1,0
basely,0,0,0,0,1,0
proably,0,0,0,0,1,0
caci,0,0,0,0,4,0
halting,0,0,0,0,1,0
partsxxxx,0,0,0,0,1,0
agenciesxxxx,0,0,0,0,1,0
heater,0,0,0,0,4,0
possesston,0,0,0,0,1,0
compsny,0,0,0,0,1,0
ridiculus,0,0,0,0,1,0
negoiate,0,0,0,0,1,0
publishes,0,0,0,0,1,1
proprerly,0,0,0,0,1,0
harbor,0,0,0,0,1,0
aquisitions,0,0,0,0,1,0
hangup,0,0,0,0,1,0
discombobulated,0,0,0,0,1,0
vibrate,0,0,0,0,2,0
persuasion,0,0,0,0,1,0
ackwardly,0,0,0,0,1,0
fdrc,0,0,0,0,1,0
sherman,0,0,0,0,1,0
revieing,0,0,0,0,1,0
evedentary,0,0,0,0,1,0
evade,0,0,0,0,1,1
attorny,0,0,0,0,1,0
treasurere,0,0,0,0,1,0
jared,0,0,0,0,2,0
directv,0,0,0,0,1,0
boll,0,0,0,0,1,0
goldkey,0,0,0,0,1,0
effectuation,0,0,0,0,1,0
quipped,0,0,0,0,1,0
dazzling,0,0,0,0,1,0
wildest,0,0,0,0,1,0
controversy,0,0,0,0,1,1
prone,0,0,0,0,1,1
bww,0,0,0,0,3,0
hero,0,0,0,0,1,0
differentiate,0,0,0,0,1,0
remanding,0,0,0,0,1,0
multiplicative,0,0,0,0,1,0
uo,0,0,0,0,2,0
dci,0,0,0,0,1,0
partnersxxxx,0,0,0,0,2,0
xxxxxxxxhad,0,0,0,0,1,0
reveiws,0,0,0,0,2,0
companyhad,0,0,0,0,1,0
debtdebt,0,0,0,0,1,0
nelnet,0,0,0,0,1,0
assosiciated,0,0,0,0,1,0
magisterial,0,0,0,0,1,0
everyway,0,0,0,0,1,1
superlative,0,0,0,0,1,0
servicews,0,0,0,0,1,0
additoin,0,0,0,0,1,0
troubleshoot,0,0,0,0,1,0
suited,0,0,0,0,1,1
confounded,0,0,0,0,1,0
falsed,0,0,0,0,1,0
emorning,0,0,0,0,1,0
reinserte,0,0,0,0,1,0
employement,0,0,0,0,1,0
interferring,0,0,0,0,1,0
remex,0,0,0,0,2,0
cough,0,0,0,0,1,0
spurious,0,0,0,0,1,0
noncommittal,0,0,0,0,1,0
furthest,0,0,0,0,1,0
nonspecific,0,0,0,0,1,0
caresource,0,0,0,0,2,0
cain,0,0,0,0,2,0
instigator,0,0,0,0,1,0
impostor,0,0,0,0,1,0
honorary,0,0,0,0,1,0
amusement,0,0,0,0,1,0
theatre,0,0,0,0,1,0
costume,0,0,0,0,1,0
scenery,0,0,0,0,1,0
debenture,0,0,0,0,1,0
fictitiously,0,0,0,0,1,0
ivity,0,0,0,0,1,0
uested,0,0,0,0,1,0
dnc,0,0,0,0,2,0
mab,0,0,0,0,1,0
subsidy,0,0,0,0,3,0
disqualification,0,0,0,0,1,0
addess,0,0,0,0,1,0
heng,0,0,0,0,2,0
lenscrafters,0,0,0,0,1,0
sidewalk,0,0,0,0,1,0
calvalry,0,0,0,0,4,0
orignially,0,0,0,0,1,0
openedaround,0,0,0,0,1,0
xxxxcalvalry,0,0,0,0,1,0
calvary,0,0,0,0,4,0
aldous,0,0,0,0,2,0
pllc,0,0,0,0,2,0
amnesty,0,0,0,0,1,0
confined,0,0,0,0,1,0
banged,0,0,0,0,1,0
xxxxlocal,0,0,0,0,1,0
unchristian,0,0,0,0,1,0
payou,0,0,0,0,1,0
annualcreditreport,0,0,0,0,1,11
fabco,0,0,0,0,3,0
withfabco,0,0,0,0,1,0
unblemished,0,0,0,0,2,0
sporatic,0,0,0,0,1,0
sopoke,0,0,0,0,1,0
outsie,0,0,0,0,1,0
anggency,0,0,0,0,1,0
velocity,0,0,0,0,1,0
franked,0,0,0,0,1,0
incentivize,0,0,0,0,1,0
fdgl,0,0,0,0,3,0
disapprove,0,0,0,0,1,0
marrying,0,0,0,0,1,0
haggling,0,0,0,0,1,0
hadve,0,0,0,0,1,0
informat,0,0,0,0,1,0
bongo,0,0,0,0,1,0
caucasian,0,0,0,0,1,0
concernmy,0,0,0,0,1,0
ssan,0,0,0,0,3,9
fille,0,0,0,0,1,0
efected,0,0,0,0,1,0
costitution,0,0,0,0,1,0
folow,0,0,0,0,1,0
mimi,0,0,0,0,1,0
inconient,0,0,0,0,1,0
validiated,0,0,0,0,1,0
restitituion,0,0,0,0,1,0
knowlege,0,0,0,0,1,0
recealled,0,0,0,0,1,0
voting,0,0,0,0,1,0
servicethe,0,0,0,0,1,0
systemsaddress,0,0,0,0,1,0
xxxxtaddress,0,0,0,0,1,0
xxxxdate,0,0,0,0,1,1
collectionterms,0,0,0,0,1,0
xxxxresponsibility,0,0,0,0,1,1
individualcredit,0,0,0,0,1,0
narecent,0,0,0,0,1,0
xxxxrecent,0,0,0,0,1,0
reaffirms,0,0,0,0,1,0
smog,0,0,0,0,1,0
los,0,0,0,0,1,0
angeles,0,0,0,0,1,0
unassociated,0,0,0,0,1,0
iiegal,0,0,0,0,1,0
inconveience,0,0,0,0,1,0
timrly,0,0,0,0,1,0
clark,0,0,0,0,2,0
tac,0,0,0,0,1,0
tmarr,0,0,0,0,1,0
executing,0,0,0,0,2,0
superseded,0,0,0,0,1,0
rondo,0,0,0,0,1,0
interogate,0,0,0,0,1,0
blackened,0,0,0,0,1,0
culd,0,0,0,0,1,0
augusta,0,0,0,0,1,0
xxxxwhere,0,0,0,0,1,0
tak,0,0,0,0,1,0
ghetto,0,0,0,0,1,0
dominant,0,0,0,0,1,0
slaverowner,0,0,0,0,1,0
spirited,0,0,0,0,1,0
poe,0,0,0,0,1,0
insurnace,0,0,0,0,1,0
presidentially,0,0,0,0,1,0
unihabitable,0,0,0,0,1,0
bracket,0,0,0,0,1,0
bursey,0,0,0,0,1,0
ollection,0,0,0,0,1,0
repeatable,0,0,0,0,1,0
cancele,0,0,0,0,1,0
respon,0,0,0,0,1,0
bana,0,0,0,0,13,0
hawai,0,0,0,0,2,0
unattractive,0,0,0,0,1,0
compenstion,0,0,0,0,1,0
solutionsxxxx,0,0,0,0,1,0
solutionsi,0,0,0,0,1,0
richard,0,0,0,0,2,0
sokoloff,0,0,0,0,2,0
incphone,0,0,0,0,1,0
sentry,0,0,0,0,1,0
dv,0,0,0,0,1,0
obituary,0,0,0,0,1,0
ercs,0,0,0,0,1,0
insitant,0,0,0,0,1,0
blower,0,0,0,0,1,0
assorted,0,0,0,0,1,0
pourch,0,0,0,0,1,0
colecter,0,0,0,0,1,0
arangments,0,0,0,0,1,0
qualifier,0,0,0,0,1,0
xli,0,0,0,0,1,0
monterary,0,0,0,0,1,0
moneterey,0,0,0,0,1,0
nullity,0,0,0,0,1,0
mccalla,0,0,0,0,1,0
serivce,0,0,0,0,2,1
tken,0,0,0,0,1,0
dreamed,0,0,0,0,1,0
providedand,0,0,0,0,1,0
altran,0,0,0,0,1,0
issurance,0,0,0,0,1,0
fraudutlently,0,0,0,0,1,0
pdm,0,0,0,0,1,0
hosted,0,0,0,0,1,0
emptively,0,0,0,0,1,0
vacates,0,0,0,0,1,0
ann,0,0,0,0,2,0
throgh,0,0,0,0,1,0
ombudsement,0,0,0,0,1,0
reaponsible,0,0,0,0,1,0
lustig,0,0,0,0,2,0
glaser,0,0,0,0,1,0
wilson,0,0,0,0,2,0
thunderbird,0,0,0,0,2,0
weaker,0,0,0,0,1,1
coradius,0,0,0,0,2,0
aci,0,0,0,0,8,0
glba,0,0,0,0,1,0
crimiinal,0,0,0,0,1,0
tters,0,0,0,0,1,0
chained,0,0,0,0,1,0
vaunted,0,0,0,0,1,0
dagger,0,0,0,0,1,1
hel,0,0,0,0,1,0
coastline,0,0,0,0,1,0
legibly,0,0,0,0,1,2
secuity,0,0,0,0,1,0
def,0,0,0,0,1,0
marine,0,0,0,0,1,0
recxxxx,0,0,0,0,1,0
xxxxopen,0,0,0,0,1,0
recoriginal,0,0,0,0,1,0
xxxxclosed,0,0,0,0,1,1
individualbalance,0,0,0,0,1,1
xxxxremarks,0,0,0,0,1,1
requirementscreditor,0,0,0,0,1,0
detailsgeneral,0,0,0,0,1,0
intimate,0,0,0,0,1,0
frau,0,0,0,0,1,0
supposely,0,0,0,0,2,0
debtfor,0,0,0,0,1,0
otherthan,0,0,0,0,1,0
notthe,0,0,0,0,1,0
dailycalls,0,0,0,0,1,0
cout,0,0,0,0,1,0
settlment,0,0,0,0,1,0
headlight,0,0,0,0,2,0
wilber,0,0,0,0,2,0
cosignnor,0,0,0,0,1,0
cosignor,0,0,0,0,1,0
oter,0,0,0,0,1,0
xxxxforward,0,0,0,0,1,0
incurr,0,0,0,0,1,0
wisconsion,0,0,0,0,1,0
hillcrest,0,0,0,0,2,0
davidson,0,0,0,0,2,0
orobligated,0,0,0,0,1,0
chesterfield,0,0,0,0,1,0
unecpectedly,0,0,0,0,1,0
agreementa,0,0,0,0,1,0
doubting,0,0,0,0,1,0
clavary,0,0,0,0,1,0
computerize,0,0,0,0,1,0
penncredit,0,0,0,0,1,0
hauge,0,0,0,0,1,0
delamrva,0,0,0,0,1,0
containg,0,0,0,0,1,0
plz,0,0,0,0,1,1
muse,0,0,0,0,1,0
reinitiated,0,0,0,0,1,0
yob,0,0,0,0,1,0
supposably,0,0,0,0,1,0
wracked,0,0,0,0,1,0
kwh,0,0,0,0,1,0
consumption,0,0,0,0,1,0
congradulated,0,0,0,0,1,0
peak,0,0,0,0,2,0
ridicoulouse,0,0,0,0,1,0
hubby,0,0,0,0,1,0
weatherization,0,0,0,0,1,0
contactin,0,0,0,0,1,0
yah,0,0,0,0,1,0
sdebit,0,0,0,0,1,0
bewildering,0,0,0,0,1,0
scavenger,0,0,0,0,1,0
millienium,0,0,0,0,1,0
educator,0,0,0,0,1,0
educap,0,0,0,0,1,0
concidering,0,0,0,0,1,0
haggle,0,0,0,0,1,0
lye,0,0,0,0,1,0
shoulder,0,0,0,0,1,0
answersthere,0,0,0,0,1,0
cplr,0,0,0,0,2,0
fingertip,0,0,0,0,1,0
wahat,0,0,0,0,1,0
possessing,0,0,0,0,1,0
dictation,0,0,0,0,1,0
gav,0,0,0,0,1,0
um,0,0,0,0,2,0
disconne,0,0,0,0,1,0
tryi,0,0,0,0,1,0
bein,0,0,0,0,1,0
orignate,0,0,0,0,1,0
xxxxg,0,0,0,0,1,2
despaired,0,0,0,0,1,0
leaved,0,0,0,0,1,0
satusifued,0,0,0,0,1,0
southwestern,0,0,0,0,5,0
recruited,0,0,0,0,1,0
recruiting,0,0,0,0,1,1
prothonotary,0,0,0,0,1,0
phothonotary,0,0,0,0,2,0
adjudicate,0,0,0,0,1,0
impolite,0,0,0,0,1,0
convergant,0,0,0,0,1,0
isurance,0,0,0,0,1,0
shoo,0,0,0,0,1,0
recipe,0,0,0,0,1,0
longs,0,0,0,0,1,0
riddled,0,0,0,0,1,1
withe,0,0,0,0,1,0
cbegroup,0,0,0,0,1,0
wisleblower,0,0,0,0,1,0
possiblity,0,0,0,0,1,0
collaborating,0,0,0,0,1,0
bla,0,0,0,0,3,0
warfie,0,0,0,0,1,0
fur,0,0,0,0,1,0
apts,0,0,0,0,1,1
featuring,0,0,0,0,1,0
famous,0,0,0,0,1,1
graphic,0,0,0,0,1,0
unconscious,0,0,0,0,1,0
tainted,0,0,0,0,1,0
adjudicating,0,0,0,0,1,0
cir,0,0,0,0,1,3
purge,0,0,0,0,1,1
fios,0,0,0,0,1,0
disillusion,0,0,0,0,1,0
churn,0,0,0,0,1,0
lexis,0,0,0,0,2,24
nexis,0,0,0,0,2,24
suborned,0,0,0,0,1,0
richland,0,0,0,0,2,0
acctcorp,0,0,0,0,1,0
enriched,0,0,0,0,1,0
accorp,0,0,0,0,1,0
tennent,0,0,0,0,1,0
neater,0,0,0,0,1,0
cleaner,0,0,0,0,1,0
degreasing,0,0,0,0,1,0
shampooing,0,0,0,0,1,0
repainting,0,0,0,0,1,0
tare,0,0,0,0,1,0
patched,0,0,0,0,1,1
condoned,0,0,0,0,1,0
komyatte,0,0,0,0,1,0
casbon,0,0,0,0,1,0
sra,0,0,0,0,1,0
contiuning,0,0,0,0,1,0
xxxxif,0,0,0,0,1,0
genrral,0,0,0,0,1,0
esteem,0,0,0,0,1,0
roomate,0,0,0,0,1,0
mny,0,0,0,0,1,0
affifavit,0,0,0,0,1,0
johanas,0,0,0,0,1,0
wiht,0,0,0,0,1,0
reynolds,0,0,0,0,2,0
sims,0,0,0,0,2,0
patenaude,0,0,0,0,2,0
felix,0,0,0,0,1,0
dla,0,0,0,0,1,1
haunting,0,0,0,0,1,2
newsroom,0,0,0,0,1,0
udren,0,0,0,0,4,0
discard,0,0,0,0,1,0
tecco,0,0,0,0,2,0
awy,0,0,0,0,1,0
ahllf,0,0,0,0,1,0
jut,0,0,0,0,1,1
oof,0,0,0,0,1,0
hink,0,0,0,0,1,0
arcadia,0,0,0,0,1,0
wam,0,0,0,0,1,0
indepedent,0,0,0,0,1,0
xxxxorchard,0,0,0,0,1,0
paperworking,0,0,0,0,1,0
scince,0,0,0,0,1,0
leagal,0,0,0,0,1,0
constanamous,0,0,0,0,1,0
ese,0,0,0,0,1,0
guarentees,0,0,0,0,1,0
recivables,0,0,0,0,1,0
inn,0,0,0,0,1,0
pfr,0,0,0,0,2,0
cunning,0,0,0,0,1,1
followiing,0,0,0,0,1,0
laible,0,0,0,0,1,0
oac,0,0,0,0,1,0
mame,0,0,0,0,1,0
securtiy,0,0,0,0,1,0
bullcity,0,0,0,0,2,0
legitimize,0,0,0,0,1,0
implicate,0,0,0,0,1,0
feigning,0,0,0,0,1,0
preimptively,0,0,0,0,1,0
priori,0,0,0,0,1,0
cleanliness,0,0,0,0,2,0
redialed,0,0,0,0,1,0
midstate,0,0,0,0,1,0
jur,0,0,0,0,1,0
subrogate,0,0,0,0,1,0
hould,0,0,0,0,1,0
departme,0,0,0,0,1,0
repossesion,0,0,0,0,1,0
fns,0,0,0,0,1,0
alomg,0,0,0,0,1,0
confidentially,0,0,0,0,1,0
stammered,0,0,0,0,1,0
athletic,0,0,0,0,1,0
xxxxxname,0,0,0,0,1,0
burgess,0,0,0,0,1,0
conrad,0,0,0,0,6,0
honeymoon,0,0,0,0,1,0
leins,0,0,0,0,2,2
googlexxxx,0,0,0,0,1,0
eon,0,0,0,0,1,0
unmerge,0,0,0,0,1,0
insertion,0,0,0,0,1,12
heeeeloooo,0,0,0,0,1,0
henriques,0,0,0,0,2,0
abstract,0,0,0,0,1,0
accociated,0,0,0,0,1,0
lincare,0,0,0,0,3,0
buddy,0,0,0,0,3,0
minuet,0,0,0,0,2,0
slur,0,0,0,0,2,0
beacuse,0,0,0,0,1,0
arrangemtent,0,0,0,0,1,0
peddled,0,0,0,0,1,0
aback,0,0,0,0,1,0
determineing,0,0,0,0,1,0
calleddebt,0,0,0,0,1,0
propane,0,0,0,0,1,0
retrieveable,0,0,0,0,1,0
melt,0,0,0,0,1,0
glasser,0,0,0,0,4,0
weinburg,0,0,0,0,1,0
vestigate,0,0,0,0,1,0
macho,0,0,0,0,1,0
isc,0,0,0,0,1,0
histoury,0,0,0,0,1,0
vertification,0,0,0,0,1,0
resoursed,0,0,0,0,1,0
scattershot,0,0,0,0,1,0
stipulating,0,0,0,0,2,0
blip,0,0,0,0,1,0
mgt,0,0,0,0,1,0
creidt,0,0,0,0,1,2
ernst,0,0,0,0,1,0
artmann,0,0,0,0,1,0
diminish,0,0,0,0,1,0
wayyyyy,0,0,0,0,1,0
payloan,0,0,0,0,1,0
numbe,0,0,0,0,1,0
dipsutes,0,0,0,0,1,0
gthese,0,0,0,0,1,0
housemy,0,0,0,0,1,0
phonethe,0,0,0,0,1,0
amounthe,0,0,0,0,1,0
debtthis,0,0,0,0,1,0
disheartened,0,0,0,0,1,0
shining,0,0,0,0,1,0
victimizes,0,0,0,0,1,0
cup,0,0,0,0,1,0
fowarded,0,0,0,0,1,0
subhuman,0,0,0,0,1,0
sighed,0,0,0,0,1,0
fromby,0,0,0,0,1,0
blueshore,0,0,0,0,1,0
rsmo,0,0,0,0,1,0
iru,0,0,0,0,1,0
gallon,0,0,0,0,1,0
channeled,0,0,0,0,1,0
march,0,0,0,0,1,0
watchdog,0,0,0,0,1,0
revsolve,0,0,0,0,1,0
expulsion,0,0,0,0,1,0
bitter,0,0,0,0,1,0
nordstroms,0,0,0,0,1,0
kolhs,0,0,0,0,2,0
nudelman,0,0,0,0,2,0
klemm,0,0,0,0,2,0
golub,0,0,0,0,2,0
frim,0,0,0,0,1,1
defender,0,0,0,0,1,0
collectionon,0,0,0,0,1,0
telephoning,0,0,0,0,1,0
downthey,0,0,0,0,1,0
downthe,0,0,0,0,1,0
whearabouts,0,0,0,0,1,0
smarter,0,0,0,0,1,0
dyke,0,0,0,0,4,0
neal,0,0,0,0,4,0
lette,0,0,0,0,1,0
excellant,0,0,0,0,1,0
pvt,0,0,0,0,1,0
plural,0,0,0,0,1,1
eastate,0,0,0,0,1,0
yeilded,0,0,0,0,1,0
cbr,0,0,0,0,1,0
unbecoming,0,0,0,0,1,0
etiquette,0,0,0,0,1,0
sopervisor,0,0,0,0,1,0
cerastes,0,0,0,0,4,0
precinct,0,0,0,0,6,0
wirt,0,0,0,0,1,0
ail,0,0,0,0,1,0
bondedin,0,0,0,0,1,0
ginna,0,0,0,0,1,0
xxxxace,0,0,0,0,1,0
fingerhut,0,0,0,0,1,0
eave,0,0,0,0,1,0
innaccurate,0,0,0,0,1,1
liek,0,0,0,0,1,0
adulthood,0,0,0,0,1,0
fds,0,0,0,0,3,0
rote,0,0,0,0,1,0
humming,0,0,0,0,1,0
overton,0,0,0,0,3,0
russell,0,0,0,0,3,0
doerr,0,0,0,0,3,0
donovan,0,0,0,0,3,0
excercised,0,0,0,0,1,0
refereced,0,0,0,0,1,0
crdit,0,0,0,0,1,1
whispering,0,0,0,0,1,0
aps,0,0,0,0,1,0
arding,0,0,0,0,1,0
sledge,0,0,0,0,1,0
tra,0,0,0,0,1,0
nsferred,0,0,0,0,1,0
