token,Bankrekening,Consumentenkrediet,Creditcard,Hypotheek,Incasso,Kredietregistratie
usually,16,6,9,26,14,6
culprit,5,0,1,0,2,3
vermont,4,1,0,1,0,0
slowly,4,0,0,1,3,6
lucrative,2,0,3,0,1,0
alive,1,1,0,3,4,2
competent,2,1,6,14,18,16
unnecessarily,1,1,2,10,3,2
photocopy,1,0,2,3,1,4
vt,1,1,0,2,1,0
higher,2,0,2,5,0,2
moire,1,0,0,0,0,0
apology,15,3,7,13,2,6
partially,5,0,7,6,4,6
shift,2,4,4,8,1,5
domineering,1,0,0,0,0,0
clingy,1,0,0,0,0,0
disparaging,1,0,0,0,0,0
remark,1,7,11,14,42,53
activy,1,0,0,0,0,0
wedding,2,0,6,0,0,0
probe,1,0,1,2,1,0
combination,3,1,1,3,1,2
ofdi,1,0,0,0,0,0
chain,2,6,5,26,7,1
smooth,3,0,0,1,0,1
tennessee,7,2,0,12,6,1
troublesome,1,0,1,1,0,0
authorized,15,3,33,13,7,20
prosecute,6,0,0,4,9,2
roth,2,0,0,0,0,0
crowd,1,0,0,0,0,0
related,3,0,1,7,1,1
mm,1,0,1,0,1,0
selection,1,0,1,1,2,1
accountant,4,0,2,6,6,2
employet,1,0,0,0,0,0
amazon,2,1,66,0,14,0
dysfunctional,1,0,0,4,0,0
guess,13,7,10,35,16,10
assert,5,0,4,8,9,6
stepdaughter,2,0,0,1,0,0
passing,1,0,0,3,0,1
forgery,5,0,4,6,6,0
encouragement,1,0,0,1,0,0
timing,1,1,7,10,0,1
peace,2,3,0,4,5,0
instiution,1,0,0,0,0,0
careless,1,1,1,1,1,3
elapse,3,1,4,4,3,2
controller,5,0,0,3,0,0
volume,3,0,6,5,2,1
downgrade,3,0,4,2,0,1
aa,2,1,3,0,1,0
promo,14,0,25,0,2,0
undisclosed,4,1,4,6,1,1
improbable,1,0,1,0,0,0
renewal,12,2,19,23,12,2
cancelation,2,2,6,6,1,0
sate,1,1,1,3,0,0
rgion,1,0,0,0,0,0
renew,9,5,18,15,17,4
reacurring,1,0,0,0,0,0
capitol,2,7,45,2,6,0
submission,10,4,10,37,7,10
perpetraitor,1,0,0,0,0,0
nof,1,0,0,0,0,0
persist,2,3,2,0,9,0
judicial,1,0,0,21,23,3
proven,1,0,0,0,0,0
acquiescence,1,0,1,0,0,0
guilt,1,0,0,3,0,0
worker,14,6,2,8,29,5
expenditure,2,0,3,5,0,0
purposefully,2,0,2,9,3,3
exclude,1,1,7,6,4,3
monitoring,7,3,4,3,21,62
expressly,4,4,1,2,8,0
inclusion,1,0,1,3,0,3
omit,3,2,3,8,2,1
institutional,1,0,1,0,0,1
god,1,1,1,5,0,1
sake,1,0,1,8,1,1
lle,1,0,0,0,0,0
hey,1,1,1,0,2,2
indemnity,1,0,0,1,0,1
busi,1,0,0,0,0,0
ness,1,0,0,0,0,0
lastly,6,1,0,12,4,8
uploaded,1,0,0,4,1,2
dent,1,1,1,1,1,0
midw,1,0,0,0,2,0
deaf,1,0,3,9,5,0
ear,1,0,3,10,5,1
midwest,1,1,0,1,29,0
ship,6,4,24,5,8,10
ring,4,7,8,7,18,2
drafting,2,0,0,2,0,0
recollection,1,0,2,3,8,1
retrospect,1,1,0,1,0,0
restate,2,1,2,6,3,0
oak,1,0,0,0,0,0
bluff,1,0,0,0,0,0
election,5,1,0,9,7,1
proximity,2,0,0,0,0,0
untreated,1,0,0,0,0,0
ruin,9,17,34,54,35,43
shamble,1,0,0,5,0,0
deteriorate,1,1,0,7,1,0
complacent,1,0,1,0,0,2
bounced,3,0,2,1,0,0
commend,1,0,0,1,0,0
convict,3,0,0,8,0,4
months,1,1,2,0,0,0
refinancing,5,0,0,25,0,2
solicitation,6,3,19,12,1,0
campaign,1,1,0,0,1,0
lower,8,31,52,109,14,31
desirable,2,0,1,4,0,0
worse,1,0,0,0,0,1
reconsider,3,0,7,7,0,0
colleague,4,0,2,1,4,1
unpleasant,1,1,1,5,1,0
intolerable,1,0,0,1,0,0
ps,4,0,4,3,1,3
discretion,3,4,3,4,0,1
neccessary,1,0,0,0,2,0
az,6,8,7,16,8,0
tue,5,0,2,2,0,0
sat,2,0,0,1,0,0
mon,5,0,1,3,1,0
overnight,10,4,6,41,3,1
privilege,4,0,5,1,3,0
mad,1,2,2,8,4,2
fresh,2,2,0,7,2,7
quantity,1,0,0,0,0,0
can,1,0,0,3,1,1
snack,1,0,0,0,0,0
hurricane,1,2,2,11,0,2
cpaitalone,1,0,0,0,0,0
io,2,0,0,0,0,0
capitalone,3,0,33,9,0,0
tall,1,0,0,0,0,0
insuffient,1,0,0,0,0,0
madamthursday,1,0,0,0,0,0
wee,2,0,0,0,0,0
chore,1,0,0,0,0,0
substract,1,0,0,0,0,0
shop,10,7,28,16,2,9
recommendation,3,0,5,5,1,3
slot,2,0,0,0,0,0
rail,1,0,0,1,0,0
contribution,2,0,0,5,0,0
yearly,2,0,5,22,3,9
indiana,4,2,0,8,24,1
externally,1,0,2,0,0,0
upload,6,5,2,54,8,68
addendum,1,1,1,25,5,1
bow,2,0,1,5,2,0
troubling,1,1,6,2,2,1
unilaterally,2,1,4,5,0,5
guarantee,15,10,14,75,18,4
estimation,1,1,0,4,1,1
sided,1,0,0,1,1,1
contractual,2,2,4,8,51,15
remit,5,5,0,6,10,0
contrary,3,1,11,7,11,8
ftp,1,0,0,0,0,0
revenue,8,0,6,8,36,8
asse,1,0,0,1,0,0
peruse,1,0,1,0,0,1
tonight,1,0,5,9,8,0
elect,5,1,5,11,6,6
outraged,3,0,0,1,1,1
intermediately,1,0,0,0,0,0
appliance,1,0,3,10,9,1
anticipation,3,1,0,2,1,1
project,4,0,12,28,1,0
patiently,3,0,3,3,0,2
sender,11,0,0,2,4,1
fedex,7,0,2,3,0,0
female,3,11,2,12,16,1
unopened,1,0,1,1,6,2
pickup,3,2,1,0,0,0
coincide,2,0,2,4,1,1
walmart,1,0,33,0,3,1
defensive,1,2,0,1,4,0
quit,1,3,4,30,25,0
wall,2,0,2,20,8,7
angry,10,3,9,14,12,7
vindictive,1,1,2,1,2,2
inbound,1,0,1,0,5,0
last,4,0,3,5,4,0
hasty,1,0,0,0,0,0
quality,4,9,11,26,9,6
coach,4,0,1,2,3,0
learning,3,0,0,0,0,0
format,2,0,2,13,2,4
conventional,1,2,0,52,1,1
installment,1,36,5,26,25,15
emailed,3,1,0,0,0,0
intercept,4,0,1,1,1,1
yield,2,1,2,9,0,1
dissatisfaction,3,2,4,0,0,1
wage,8,14,11,11,138,15
goal,3,2,3,22,6,7
pertinent,5,1,3,6,11,5
fifth,27,18,7,24,1,1
technician,5,0,3,1,5,1
hq,5,0,2,0,0,0
reportedly,2,0,1,6,1,0
committee,2,0,1,8,0,0
malfunctioning,1,0,0,0,0,0
miserable,1,0,0,1,0,0
actionable,1,0,0,2,2,0
conversion,10,0,7,11,1,1
crear,1,0,0,0,0,0
supermarket,3,0,1,0,0,0
instinctively,1,0,0,0,0,0
crab,1,0,0,0,0,0
inhibit,1,0,1,0,0,1
dinner,2,1,0,1,4,0
waiter,1,0,0,0,0,0
imagine,6,2,8,26,7,9
meal,1,0,3,2,0,0
restaurant,4,0,5,0,1,0
ludicrous,2,2,3,4,0,2
comfortable,4,3,4,9,9,2
exclusion,1,0,2,0,1,0
preventative,2,0,0,0,0,1
escrow,23,2,7,1333,10,6
licenced,1,0,0,0,0,0
fin,5,1,7,29,19,13
ty,1,0,0,0,0,0
dedicated,1,0,0,11,0,0
lure,2,2,6,3,0,0
attractive,1,0,4,2,1,0
underway,1,0,0,1,0,0
worst,2,0,0,1,1,0
appearance,8,1,0,4,3,1
downtown,1,0,1,2,0,0
hatred,1,0,0,0,0,1
speaker,6,1,2,6,2,1
enforce,3,4,7,24,28,22
municipal,3,0,0,1,2,0
misrepresent,4,8,11,23,22,2
educational,1,1,0,1,1,0
repetively,1,0,0,0,0,0
badge,2,2,0,0,3,1
wlll,1,0,0,0,0,0
stink,1,0,0,0,0,0
mufg,1,0,0,0,0,0
component,1,0,1,1,0,0
dime,3,4,2,9,4,3
unto,1,0,0,0,1,0
accountability,2,0,4,8,10,5
engage,7,5,15,33,28,16
fnbo,1,0,0,0,0,0
gladly,1,2,4,6,4,0
hire,12,5,21,108,69,24
expose,10,1,3,8,7,4
vulnerability,2,0,0,1,0,0
inadequate,4,1,3,9,5,2
ic,2,0,0,0,16,0
exposure,2,0,6,3,1,2
consumerfinance,3,0,1,2,1,5
ky,1,1,0,7,6,4
loudly,2,1,0,1,4,0
uphold,8,4,4,6,0,1
flat,5,3,14,5,6,0
category,3,0,15,15,6,6
magazine,1,0,6,1,2,0
recognizable,1,0,1,0,0,0
greeting,3,0,0,3,2,0
leap,1,0,0,0,0,0
categorize,2,0,2,0,1,0
overpayment,1,11,13,31,4,2
resent,4,1,5,14,0,2
manipulation,2,2,1,2,0,2
helloon,1,0,0,0,0,0
cryptic,2,0,0,1,1,1
successi,1,0,0,0,0,0
daysi,1,0,0,0,0,0
reasoni,1,0,0,0,0,0
reviewthank,1,0,0,0,0,0
cus,1,0,0,0,0,0
mine,2,0,0,0,7,18
discrimate,1,1,0,0,0,0
causei,1,0,0,0,0,0
wil,1,0,0,1,1,0
york,22,5,1,34,22,11
leak,2,5,1,19,9,5
flooring,1,0,1,2,1,0
kitchen,7,0,5,19,4,1
room,5,3,26,28,40,10
floor,7,7,2,19,5,5
instal,7,5,6,11,11,3
downstairs,2,0,0,0,0,0
inspect,1,12,3,10,3,2
disastrous,1,0,0,1,0,0
sink,1,0,0,2,1,0
stage,1,0,1,17,4,8
loaded,1,1,0,1,0,0
finish,18,16,13,47,24,13
space,4,3,4,5,7,1
sheriff,9,2,4,72,24,3
literally,6,10,10,20,9,11
baffle,2,1,0,5,1,2
imburse,1,0,0,1,0,0
victimize,5,1,5,10,3,4
unwell,1,0,0,0,0,0
starve,2,0,0,3,0,0
roof,1,1,3,48,3,8
beat,2,4,0,8,1,1
crook,6,1,3,11,2,1
flawed,2,0,2,3,2,3
shame,4,4,3,7,2,7
gather,3,3,2,12,8,5
legwork,1,0,0,0,0,0
lax,1,0,0,2,0,0
manual,3,0,11,4,0,0
prepare,6,5,3,45,21,13
astounded,1,0,2,0,0,1
indignant,1,0,0,0,0,0
periodic,3,0,6,7,1,2
miscellaneous,4,1,3,5,1,4
similarly,1,1,3,2,4,1
ruling,4,2,2,7,6,2
surviving,1,0,0,2,0,0
spouse,7,4,6,26,42,7
accessible,2,1,1,4,2,2
incase,1,0,0,2,0,1
leisure,2,0,0,0,0,0
mandate,6,1,1,12,5,10
validate,7,11,21,33,309,218
harass,12,61,32,86,354,20
xoom,1,0,0,0,0,0
birth,11,4,17,6,43,54
invalid,12,6,9,16,57,32
brake,1,1,0,0,0,0
clarity,1,1,1,6,4,4
bold,1,0,1,3,1,0
apologetic,3,0,3,2,0,0
revive,4,0,0,0,3,1
happing,1,0,0,0,0,0
mcadoo,1,0,0,0,0,0
pa,5,5,9,16,17,22
prob,3,0,0,1,0,0
known,5,0,0,3,5,0
duee,2,0,0,0,0,0
org,1,0,0,2,0,1
field,3,4,5,9,5,7
surrogate,1,0,0,5,0,0
pod,3,0,2,2,0,0
hesitate,2,1,3,3,5,5
immensely,1,0,2,1,1,3
brochure,2,1,2,0,0,0
disputable,1,0,0,0,0,0
elaborate,3,0,2,0,0,0
trial,4,0,4,329,23,11
transunion,2,4,1,1,7,978
stub,2,8,0,64,5,3
lawsuit,7,8,28,82,142,39
disputed,1,0,2,1,5,7
primate,1,0,0,0,0,0
secondary,3,0,3,3,6,0
panel,1,1,0,0,1,0
fcc,2,0,0,1,5,3
perjury,1,0,2,4,1,6
systematically,2,0,0,2,0,2
humiliate,3,3,5,2,2,0
optional,1,0,1,4,0,0
rid,3,1,5,19,9,3
uncashe,1,0,0,0,0,0
mitigation,2,0,0,138,1,0
evident,2,0,3,10,2,6
sabotage,2,0,0,12,0,2
laziness,2,0,0,1,0,0
deceitfulness,1,0,0,0,0,0
unsuccessful,6,7,8,24,10,8
incompetence,14,1,7,36,1,4
reassure,2,2,4,8,5,2
okay,9,4,10,14,10,4
embarrassment,3,1,1,4,5,1
boss,5,6,2,20,23,1
confidence,2,0,3,14,0,0
disgusted,2,1,2,1,0,2
speed,3,6,2,5,9,0
cruise,1,0,5,1,3,1
delaware,4,0,13,6,8,0
carnival,1,0,0,0,1,0
master,3,5,27,14,6,4
sail,1,0,0,0,1,0
balanced,2,0,1,3,5,0
historical,1,0,0,3,4,2
fradulent,3,0,4,3,2,3
negligience,1,0,0,0,0,0
bankand,1,0,0,0,0,0
tranaction,1,0,0,0,0,0
withdrawalsonmy,1,0,0,0,0,0
wrongly,3,3,2,9,5,5
deligience,1,0,0,0,0,0
diligence,7,2,6,28,4,10
negligient,2,0,0,0,0,0
bummer,1,0,0,0,0,0
inefficient,1,0,0,2,0,0
proceess,1,0,0,0,0,0
restricted,1,0,0,1,3,0
detect,2,0,4,0,1,1
strike,2,2,3,4,3,0
pdf,5,1,11,16,2,11
rev,1,1,0,2,0,4
prop,1,0,0,0,0,0
orally,1,1,0,2,1,3
naturally,2,3,1,3,4,2
embezzlement,3,1,0,0,5,2
conspire,6,1,1,3,2,2
writ,6,0,0,3,22,2
judgment,6,11,15,52,209,83
pledge,4,0,0,2,4,0
records,1,0,1,2,2,3
jurisdiction,2,1,0,8,23,4
froze,3,0,0,0,0,1
technicality,3,0,4,1,0,1
topic,1,1,2,1,1,0
self,2,2,12,37,11,12
iam,1,0,0,3,3,7
malfunction,5,1,3,0,0,0
study,4,0,3,5,1,5
niece,5,0,0,2,2,2
immigration,2,0,0,2,0,0
greet,4,0,2,1,5,0
star,2,1,2,74,1,1
invite,3,1,9,5,1,0
seat,3,2,9,3,0,0
id,5,0,1,1,3,1
polite,4,1,2,1,3,0
misunderstand,2,3,0,1,1,1
continuously,9,8,13,29,45,20
minority,2,6,4,6,0,7
ct,3,4,1,8,7,13
mccue,3,0,0,0,0,0
negotiator,2,0,0,47,0,0
slow,3,2,5,24,2,2
desperate,2,4,0,17,5,0
forthright,1,0,0,7,0,0
sight,2,1,4,6,1,2
unsecure,1,0,0,2,0,0
definitely,7,5,11,26,14,11
insert,4,0,3,1,16,36
tape,1,0,10,9,3,0
thoroughly,3,2,6,10,3,17
thirteen,1,0,1,0,1,1
guardian,3,2,0,1,1,0
partial,4,9,7,86,14,9
exploitation,2,1,1,0,0,0
yyyy,2,0,1,1,0,0
energy,4,0,2,4,2,1
audio,1,1,3,3,2,2
rang,1,0,0,1,0,1
chex,5,0,0,0,0,15
correspondent,1,0,0,1,1,0
sayin,1,0,0,0,0,0
inforaation,1,0,0,0,0,0
exhausted,1,2,0,7,1,1
staple,2,1,3,0,0,1
stun,1,0,0,1,1,0
adhere,2,3,5,10,6,3
someone,2,1,3,1,0,2
modest,1,0,0,2,0,0
salary,3,2,1,21,7,3
trigger,3,3,3,7,1,1
deceitful,2,0,6,11,4,3
showing,2,2,2,5,6,8
feds,2,0,0,1,0,0
grok,1,0,0,0,0,0
game,8,2,6,51,14,12
refrigerator,3,0,4,3,5,1
bedroom,1,1,2,11,2,3
stanley,3,0,0,0,0,0
surprising,2,2,3,2,2,1
mychecke,1,0,1,0,0,0
representativewho,1,0,0,0,0,0
fundswere,1,0,0,0,0,0
garnishmentwith,1,0,0,0,0,0
quiet,1,1,1,10,2,1
irrelevant,3,1,11,3,6,4
substantial,6,0,11,27,7,8
purchasing,1,0,1,3,2,1
aythe,1,0,0,0,0,0
po,2,2,0,1,4,0
plague,4,1,0,2,1,0
desperately,4,1,4,16,0,1
hectic,1,0,0,0,1,0
cap,4,5,21,10,2,0
otf,2,0,0,0,0,0
human,4,3,16,15,16,20
rationale,1,1,3,2,0,0
insane,3,0,3,10,1,2
grandfathere,2,0,0,1,1,1
barclaycard,1,0,48,0,0,0
recive,3,1,2,9,3,2
concerne,1,0,0,0,0,0
dergatory,1,0,0,0,0,0
tthrough,1,0,0,0,0,0
verifiable,3,0,6,5,6,41
ews,4,0,0,0,0,0
fcra,9,21,36,18,192,464
unverifie,1,0,0,0,0,36
responsabilit,1,0,0,0,0,0
needles,1,0,0,0,0,0
side,2,0,10,14,1,1
exhausting,1,1,0,1,0,1
referrer,2,0,0,0,0,0
slander,2,1,0,4,2,0
love,4,2,9,10,1,3
crdedit,1,0,0,0,0,0
financling,1,0,0,0,0,0
retract,2,0,7,8,2,0
reluctantly,1,5,0,6,4,0
knowingly,4,7,6,19,14,9
merrill,10,0,3,0,1,0
bi,3,6,1,41,4,1
weekly,5,15,6,68,11,2
stability,1,0,1,4,1,2
stmt,1,0,7,7,1,0
univerity,1,0,0,0,0,0
orther,1,0,0,0,0,0
campus,3,0,1,1,0,3
attend,6,1,8,18,27,8
ststement,1,0,0,0,0,0
devel,1,0,0,0,0,0
sue,13,13,22,50,248,66
arbitration,8,5,9,4,11,1
deliberate,1,0,8,9,1,2
defraud,8,7,9,19,13,2
cheque,21,0,6,0,5,0
seemingly,3,0,2,6,1,4
ridiculously,1,1,0,1,0,0
import,1,0,0,0,0,0
chief,4,0,0,8,6,0
anger,3,0,2,4,1,1
incredible,2,0,3,4,2,0
avoidable,1,0,2,3,0,0
paymentson,1,0,0,0,0,0
monthlystatement,1,0,0,0,0,0
paymentoption,1,0,0,0,0,0
thecredit,1,0,0,1,0,0
creditcard,1,0,3,0,0,2
thedue,1,0,0,0,0,0
xxxxdifferent,1,0,0,0,0,0
toowe,1,0,0,0,0,0
ifeel,1,0,0,0,0,0
confusing,6,4,14,18,7,4
minimumbalance,1,0,0,0,0,0
thiskind,1,0,0,0,0,0
paidmy,1,0,0,0,0,0
jpmorganchase,2,0,0,0,0,0
dl,1,0,1,0,0,4
systems,1,0,0,1,46,0
uncover,1,0,0,3,2,2
garnish,4,13,8,7,156,1
earning,4,0,3,9,0,0
disposable,1,0,1,4,2,0
abrasive,1,3,0,2,2,0
abrasiveness,1,0,0,0,0,0
discomfort,1,0,1,0,0,0
foreclose,5,1,0,476,39,14
panic,7,0,1,5,2,0
married,7,2,1,8,9,9
hurdle,3,0,0,0,1,0
straighten,2,4,10,19,6,4
worrying,1,0,0,0,0,0
chaos,1,0,0,3,1,0
unravel,1,0,1,0,0,0
unblock,2,0,1,0,1,2
outsource,2,0,0,3,8,2
fraudently,2,0,0,0,0,0
misplace,3,4,6,11,0,3
flash,1,0,0,0,0,0
cable,3,2,0,4,44,11
matching,1,0,1,1,0,1
prepay,5,0,1,11,2,0
treasury,6,0,0,20,5,4
veterans,1,1,0,2,1,4
affairs,1,0,0,1,0,6
medicaid,1,0,0,0,17,4
screw,4,0,1,12,2,3
mortage,1,2,0,32,0,0
shabbily,1,0,1,0,0,0
wrap,6,2,2,2,2,0
unwrapped,1,0,0,0,0,0
temp,3,2,1,2,0,0
discourage,4,0,4,11,1,4
tag,1,4,15,10,16,2
tiere,1,0,0,0,0,0
platinum,2,0,74,2,0,0
preferred,1,2,3,4,8,1
nuisance,2,0,0,1,4,0
il,5,4,4,11,15,15
prescribe,1,0,1,4,3,0
worried,3,1,8,15,13,4
dastardly,1,0,0,0,0,0
subscribe,2,0,3,0,1,3
quickness,1,0,0,0,0,0
transcription,2,0,1,0,0,0
fbi,12,0,4,9,8,0
officd,1,0,0,0,0,0
pd,6,0,3,1,4,4
forensic,1,0,0,14,0,1
usp,8,2,9,9,4,4
civilian,2,0,0,0,2,0
servant,1,0,1,1,0,0
stimulus,1,0,0,0,0,0
midestment,1,0,0,0,0,0
registrred,1,0,0,0,0,0
hijack,1,0,0,0,0,0
envelope,28,3,11,51,13,1
white,2,1,3,9,4,4
virus,2,0,0,0,1,0
reffere,1,0,0,0,0,0
usb,1,0,0,0,0,0
defendant,1,0,0,16,33,7
whatnot,1,0,0,0,0,0
unfold,3,0,0,1,0,0
sham,1,1,1,2,1,2
hoax,1,0,0,0,0,1
goodnight,1,0,0,0,0,0
preliminary,1,1,0,5,3,0
completion,11,6,8,34,3,8
reoccurre,3,0,2,1,0,0
descend,2,0,0,0,0,0
fyi,1,3,2,3,1,1
evict,3,1,1,17,8,8
malevolent,1,0,0,1,0,0
greedy,4,1,3,9,0,0
lodge,4,3,4,10,6,3
inconclusive,1,0,0,0,0,0
usage,2,1,9,1,4,10
crash,2,1,4,16,4,2
weapon,1,0,0,0,0,1
scared,2,3,2,6,16,1
apparantly,1,0,0,0,0,0
enrich,1,0,1,1,1,0
proprietorship,2,0,1,0,0,0
dissolution,1,0,0,1,1,0
gong,1,0,0,1,0,0
luckily,4,2,1,8,1,2
pipe,1,1,1,12,1,2
unoccupied,1,0,0,1,1,0
burst,1,0,2,4,3,0
dismiss,2,6,6,43,33,80
heating,1,0,1,3,0,1
foreclosure,2,2,1,1429,111,42
rehabilitation,1,0,1,3,12,2
contactor,1,0,0,0,0,0
declaration,1,1,4,20,6,2
repaircontractors,1,0,0,0,0,0
waiverinternal,1,0,0,0,0,0
xxxxcopy,1,0,0,0,0,0
undeliverablenotarize,1,0,0,0,0,0
harmless,1,0,0,1,1,0
sellercopy,1,0,0,0,0,0
length,6,6,9,24,10,10
vp,8,1,0,11,1,0
arizona,2,9,0,10,15,9
accunt,1,1,0,0,0,0
unknowingly,3,1,5,2,3,1
appointte,1,0,0,0,0,0
secu,5,0,7,0,0,0
cremation,1,0,0,0,0,0
mrsxxxx,1,0,0,0,0,0
mentally,1,1,1,2,0,0
paralyze,1,0,0,0,0,1
neck,1,0,0,1,0,0
depositer,1,0,0,0,0,0
frequent,3,1,7,1,12,0
warren,1,0,0,0,0,0
gratiot,1,0,0,0,0,0
livid,3,1,3,2,3,1
mailed,1,0,0,0,0,0
preparation,1,0,2,2,0,1
nutshell,2,0,0,1,1,0
engineer,1,0,0,6,0,0
pennymac,12,0,0,75,14,0
hazard,6,1,0,71,0,2
perspective,1,1,1,1,0,1
farmer,1,0,0,0,0,2
custom,5,2,6,4,0,1
video,21,1,2,1,2,0
carrier,1,0,4,9,18,1
affair,5,9,6,16,7,9
garnishable,1,0,0,0,0,0
garnishement,1,0,0,0,0,0
asking,2,0,1,4,1,0
xxxxmy,3,1,0,3,0,2
administrator,4,4,3,8,2,1
befor,1,0,0,0,0,1
esignature,1,0,0,0,0,0
hve,1,0,1,0,3,1
physician,1,0,2,8,33,1
coroner,1,0,0,0,0,0
suspicion,3,2,4,6,5,1
faxed,2,2,1,13,1,1
band,2,0,1,1,1,0
sstill,1,0,0,0,0,0
questionnaire,9,0,0,8,1,0
xxxxwe,1,0,0,4,1,0
shortcoming,2,0,1,0,0,0
disappointment,2,1,3,5,0,0
neglect,6,3,8,22,6,16
disgrace,1,0,0,6,3,0
bizarre,1,0,3,2,0,1
realtor,3,2,3,152,2,2
bid,3,1,0,27,1,0
mort,1,0,0,9,0,0
xxxxthe,2,0,0,2,1,1
socialsecurity,1,0,1,0,0,0
widow,1,0,6,9,3,2
pymt,3,2,5,11,3,0
attroney,1,0,0,0,0,0
goverment,1,0,0,6,0,1
follower,1,0,0,0,0,0
facility,7,0,1,3,23,7
belonging,2,1,0,12,1,2
detain,1,0,0,0,3,0
viva,2,0,0,0,0,0
clue,4,4,8,17,16,6
civil,5,6,11,41,50,40
summit,1,9,3,7,6,4
ant,1,1,0,1,1,0
grateful,6,1,2,6,5,3
heart,1,0,2,12,2,1
brother,21,13,17,21,33,6
content,10,1,9,9,17,15
gathering,1,0,0,1,1,2
bond,10,5,2,6,24,12
irrevocable,6,0,0,4,1,0
nod,2,0,0,11,1,0
apologise,1,0,0,0,0,0
layer,1,0,0,3,2,2
resend,5,1,3,27,0,4
checkup,1,0,0,0,0,0
creditie,1,0,0,0,0,0
identiy,1,0,0,0,1,1
solicit,2,4,6,17,4,1
appt,3,0,0,2,1,0
bargain,3,0,2,1,1,2
compensate,6,6,10,19,8,1
technical,16,0,14,6,2,11
glare,1,0,0,2,0,1
nuts,1,0,0,2,2,0
cube,1,0,0,0,0,0
tend,1,2,2,2,4,1
reiterate,4,1,6,7,6,3
dismay,1,0,4,8,0,3
retaliate,3,1,0,3,2,5
bogus,5,3,14,30,30,17
nothe,1,0,0,0,0,0
luxury,1,3,0,1,0,1
chencke,1,0,0,0,0,0
duringg,1,0,0,0,0,0
murder,1,1,0,0,0,1
hawk,1,0,0,0,0,1
seventh,1,0,0,2,1,0
curtain,1,0,0,0,0,0
boken,1,0,0,0,0,0
mailer,8,0,3,6,0,0
sadly,4,1,2,4,2,3
discard,2,0,1,0,2,0
spring,1,2,4,7,3,1
beautifully,1,0,0,0,0,0
algorithm,1,0,0,0,1,2
dependent,1,1,2,0,8,3
necessarily,2,0,1,1,0,1
defy,3,0,0,0,0,1
doctor,2,5,9,9,75,6
adamant,3,2,2,2,4,2
undeniably,1,0,0,0,0,0
complicit,2,1,0,2,1,1
premise,7,1,0,6,12,1
unrecoverable,1,0,0,0,0,0
variety,1,5,2,4,6,1
obstinate,1,0,0,0,0,0
plenty,4,2,3,18,4,1
unreal,1,0,0,1,0,1
sore,1,0,1,0,1,0
dramatic,1,0,1,3,0,1
broker,3,6,0,99,11,6
ripple,1,0,0,0,0,0
overnighte,2,1,3,10,0,0
journey,2,0,1,5,0,0
rise,3,7,3,17,5,2
checkout,2,0,19,0,0,0
outdate,2,0,0,2,1,7
antiquated,3,0,0,0,0,1
technology,4,3,5,1,10,0
simultaneously,3,0,1,10,2,3
ineptness,1,0,0,1,0,0
exacerbate,2,1,2,5,0,0
financie,1,0,0,0,0,0
depost,1,0,0,0,0,0
technically,2,3,5,11,4,1
equivalent,2,0,9,9,4,1
viable,2,2,1,8,4,6
resemble,2,0,0,0,1,1
presentative,1,0,0,0,0,0
toss,1,1,0,7,0,0
consult,4,2,9,16,10,7
devastation,1,0,0,1,0,1
inflict,2,0,0,2,0,0
stranger,1,0,1,3,6,1
split,6,1,6,22,4,7
individually,1,0,0,4,1,4
consultant,3,0,2,24,65,5
administrative,1,1,0,9,11,2
shortage,3,0,1,136,1,0
shoddy,1,0,1,3,0,0
efficient,3,1,2,8,1,2
financing,4,61,26,67,7,30
fluctuate,2,0,0,5,2,0
backdate,2,0,0,17,1,0
principle,3,31,11,156,10,1
drastically,1,1,3,9,3,4
duration,3,6,4,10,1,1
unresponsiveness,1,0,0,0,0,0
homelessness,1,0,0,4,0,0
hunger,1,0,0,0,0,0
outright,1,1,4,5,3,2
annoy,2,3,2,3,5,0
tone,1,4,2,8,16,0
dissatisfied,4,2,6,5,2,1
requested,2,0,0,0,0,1
inspite,2,0,0,1,0,1
excerpt,1,0,1,5,1,2
boa_logo,1,0,0,0,0,0
ph,1,0,1,5,9,2
nice,3,5,11,15,22,13
bus,7,0,0,1,3,0
roommate,2,1,1,1,14,7
upcoming,4,3,11,9,2,0
rationalize,1,0,1,0,0,0
unsatisfactory,2,0,2,1,1,2
pleasant,2,0,2,2,0,1
sing,1,0,1,1,1,2
praise,1,0,0,0,0,1
hill,1,1,0,4,0,0
awhile,2,1,1,1,6,0
timid,1,0,0,0,0,0
occure,1,0,0,0,0,0
ut,1,2,2,0,6,3
theirs,4,5,4,19,6,4
existent,1,1,3,7,5,3
fishing,2,0,1,0,1,0
expedition,2,0,0,0,2,0
instantly,4,2,9,1,0,2
array,1,0,0,1,0,0
storage,1,9,2,12,4,4
selling,1,1,1,10,0,3
passcode,3,0,1,0,0,0
phn,1,0,0,0,0,0
convenient,5,0,6,1,1,2
subscription,4,0,20,0,5,13
accomplish,6,0,5,7,3,6
circle,3,1,12,18,5,9
jerk,3,0,0,4,1,1
fica,1,0,1,1,0,0
unauthorize,1,0,0,0,0,1
eppicard,3,0,0,0,0,0
la,2,3,0,1,6,3
oklahoma,2,4,1,7,5,1
conceal,3,3,0,8,5,1
cusip,1,0,0,0,0,0
msrb,1,0,0,0,0,0
